"Rodzajniki"
"Pracuję w restauracji.","Lavoro in un ristorante"
"Chciałabym butelkę wody","Vorrei una bottiglia di acqua"
"Dla mnie kieliszek czerwonego wina","Per me un bicchiere di vino rosso."
"On jest studentem","Lui è uno studente."
"Dla mnie sałatka.","Per me un' insalata."
"Nauczyciel ma na imię Marco.","L'insegnante si chiama Marco"
"Mówię po hiszpańsku","Parlo lo spagnolo."
"Pies śpi.","Il cane dorme."
"Mówisz po angielsku bardzo dobrze!","Parli molto bene l'inglese!"
"Ona studiuje niemiecki.","Lei studia il tedesco."
"Sonia uczy się rosyjskiego od sześciu miesięcy.","Sonia studia il russo da sei mesi."
"Woda jest za zimna.","L’acqua è troppo fredda."
"Zegarek jest zepsuty!","L’orologio è rotto"
"(Ten) chłopak jest Włochem.","Il ragazzo è italiano."
"Książka jest interesująca.","Il libro è interessante."
"Proszę, oto plecak i torba.","Prego, ecco lo zaino e la borsa."
"Okna są zamknięte czy otwarte [dosł. lub otwarte]?","Le finestre sono chiuse o aperte?"
"Dzisiaj muzea są zamknięte.","Oggi i musei sono chiusi."
"Włosi są sympatyczni.","Gli italiani sono simpatici."
"Klucze są tutaj.","Le chiavi sono qui."
"Kawa z cukrem czy bez?","Il caffè con lo zucchero o senza?"
"Jesteś nauczycielem/nauczycielką?","Sei insegnante?"
"Gdzie jest łazienka?","Dove è il bagno?"
