"Słownictwo - busuu 5"
"Czy potrafisz grać w tenisa?", "Tu sei capace di giocare a tennis"
"Pójdziemy jutro obejrzeć film?", "Andiamo a vedere un film domani?"
"A może zostaniemy w domu?", "E se rimaniamo a casa?"
"Zwykle myję się o 7:00.", "Di solito mi lavo alle 7 di mattina."
"Gdzie się spotkamy i o której godzinie?", "Dove ci incontriamo e a che ora?"
"Zazwyczaj kolację jemy o 20:00.", "Di solito ceniamo alle 8 di sera."
"Ona otwiera mi drzwi.", "Lei apre la porta per me."
"Wcześnie kończysz pracę.", "Tu finisci di lavorare presto."
"Potrafimy zrobić pizzę.", "Noi sappiamo fare la pizza."
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
"AAA", "BBB"
