"Podstawowe wyrażenia"
"Dzień dobry!","Buongiorno!"
"Dzień dobry [po południu] / Dobry wieczór!","Buona sera!"
"Cześć [na powitanie i pożegnanie]!","Ciao!"
"Witajcie!","Benvenuti!"
"Jak się masz?","Come stai?"
"Dobrze, dziękuję. A ty?","Bene, grazie. E tu?"
"Ja też mam się świetnie.","Anch’io sto benissimo."
"Do widzenia! Do zobaczenia!","Arrivederci! Ci vediamo!"
"Na razie [dosł. Do potem]!","A dopo!"
"Dobrego dnia/wieczoru!","Buona giornata/serata!"
"Dobranoc!","Buonanotte!"
"Słodkich snów [dosł. Snów ze złota]!","Sogni d’oro!"
"Przepraszam.","Scusa. / Scusi."
"Przykro mi.","Mi dispiace."
"Przepraszam [gdy chcę przejść]!","Permesso!"
"Proszę. Słucham [gdy odbieram telefon].","Prego."
"Jak się nazywasz?","Come ti chiami?"
"Nazywam się Józef.","Mi chiamo Giuseppe."
"Miło mi.","Piacere."
"Smacznego!","Buon appetito!"
"Zdrowie!","Cin cin!"
"Nawzajem.","Altrettanto."
"Pomocy!","Aiuto!"
"Uwaga!","Attenzione!"
"Jak się mówi … po włosku?","Come si dice … in italiano?"
"Co znaczy…?","Che cosa significa…?"
"Tak. / Nie.","Sì. / No."
"Oczywiście.","Certo."
"Dobrze.","Bene."
"Zgoda.","D’accordo."
"Być może.","Forse."
"Nie wiem.","Non lo so."
"(Nie) rozumiem.","(Non) capisco."
"Nie martw się.","Non ti preoccupare."
