"Słownictwo - busuu 5"
"Nigdy nie chodzę do lekarza", "Non vado mai dal dottore."
"Prawie nigdy nie wychodzę w weekendy", "Non esco quasi mai il fine settimana."
"Chodzę biegać od czasu do czasu.", "Ogni tanto vado a correre."
"Co tydzień wychodzę na kolację z moimi przyjaciółmi.", "Vado a cena con i miei amici ogni settimana."
"Zazwyczaj kolację jemy o 20:00.", "Di solito ceniamo alle 8 di sera"
"W niedziele jeżdżę na rowerze poza miastem.", "La domenica vado in bicicletta in campagna."
"Ja wychodzę ze swoimi przyjaciółmi", "Io esco con i miei amici"
"Pójdziemy na spacer?", "Andiamo a fare una passeggiata?"
"W piątek idę na wystawę.", "Venerdì vado a una mostra."
"Po pracy idziemy na drinka.", "Andiamo a bere qualcosa dopo lavoro"
"Pójdziemy jutro obejrzeć film?", "Andiamo a vedere un film domani?"
"A może zostaniemy w domu?", "E se rimaniamo a casa"
"Nie umiem prowadzić. A ty?", "Io non so guidare, e tu?"
"Nie mogę iść do teatru, ponieważ pracuję.", "Non posso andare a teatro perché lavoro"
"Czy możesz zamknąć okno, proszę?", "Puoi chiudere la finestra, per favore?"
"Nie umiem pływać.", " Io non so nuotare"
"Czy wiesz, ile lat ma Matteo?", "Tu sai quanti anni ha Matteo"
"Alice nie zna angielskiego", "Alice non sa l'inglese."
