"Andare - iść"
"Idę do sklepu", "Vado al negozio."
"Idziesz na spacer?", "Vai a fare una passeggiata?"
"Ona idzie na basen", "Lei va in piscina."
"Idziemy na koncert", "Andiamo al concerto."
"Idziecie na plażę", "Andate in spiaggia."
"Oni idą do kina", "Loro vanno al cinema."
"Ona idzie na zajęcia taneczne", "Lei va a lezioni di danza."
"Ona idzie do szkoły", "Lei va a scuola."
"Idziesz na zakupy?", "Vai a fare la spesa?"
"Ona idzie na basen z przyjaciółmi", "Lei va in piscina con gli amici."
"Ona idzie na zajęcia jogi", "Lei va a lezioni di yoga."
"Czy idziecie na imprezę?", "Andate a una festa?"
"Oni idą na spacer po górach", "Loro vanno a fare una passeggiata in montagna."
"Idę do kina obejrzeć nowy film", "Vado al cinema a vedere un nuovo film."
"Idziemy na kolację do włoskiej restauracji", "Andiamo a cena in un ristorante italiano."
"Ona idzie na spotkanie z przyjaciółmi", "Lei va a un incontro con gli amici."
"Oni idą do teatru wieczorem", "Loro vanno a teatro la sera."
"Ona idzie na zajęcia fitness", "Lei va a lezioni di fitness."
"On idzie do kawiarni po kawę", "Lui va al bar per un caffè."
"Ona idzie na kurs gotowania", "Lei va a un corso di cucina."
"Idziemy na wakacje nad morze", "Andiamo in vacanza al mare."
"Oni idą na mecz piłki nożnej", "Loro vanno a una partita di calcio."
