"Czasownik 'essere'"
"Jestem Józef.","Sono Giuseppe."
"Jesteś Włochem?","Sei italiano?"
"On jest z Rzymu.","Lui è di Roma."
"Ona jest Włoszką.","Lei è italiana."
"Jesteśmy tu!","Siamo qui!"
"Gdzie jesteście?","Dove siete?"
"Skąd są Józef i Stefan?","Di dove sono Giuseppe e Stefano?"
"Józef jest wysoki i przystojny.","Giuseppe è alto e bello."
"Jestem piękna i inteligentna.","Sono bella e intelligente."
"Ja też!","Anch’io!"
"Czy pan jest lekarzem?","Lei è medico?"
"Nie, nie jestem Włoszką, jestem Polką.","No, non sono italiana, sono polacca."
"Jesteś już zmęczony?","Sei già stanco?"
"Jesteśmy przyjaciółmi.","Siamo amici."
"Wreszcie jesteśmy we Włoszech!","Finalmente siamo in Italia!"
"Są na wakacjach we Florencji.","Sono in vacanza a Firenze."
"Jest wcześnie.","È presto."
"Jest już późno.","È già tardi."
"To jest łatwe czy trudne?","È facile o (è) difficile?"
"To bardzo łatwe!","È molto facile!"
"To prawda czy fałsz?","È vero o (è) falso?"
"Czy to bardzo daleko?","È molto lontano?"
"Nie, to dość blisko.","No, è abbastanza vicino."
"Rzym jest duży.","Roma è grande."
"Jesteście tu na wakacjach?","Siete qui in vacanza?"
"My też jesteśmy na wakacjach.","Anche noi siamo in vacanza."
"Jesteśmy spóźnieni [dosł. Jesteśmy w spóźnieniu].","Siamo in ritardo."
"Kto tam?","Chi è?"
"Jestem cudzoziemcem, nie jestem stąd.","Sono straniero, non sono di qui."
"Jesteś bardzo zajęty?","Sei molto occupato?"
"Zajęte [np. o miejscu do siedzenia]?","È occupato?"
"Nie. Proszę, wolne.","No. Prego, è libero."
"Czy ona jest z Warszawy?","Lei è di Varsavia?"
"Tak, jest Polką, ale z Krakowa.","Sì, è polacca, ma di Cracovia."
"Być albo nie być, oto jest pytanie [dosł. dylemat].","Essere o non essere, questo è il dilemma."
