"Rzeczowniki + rodzajniki"
"Kot jest czarny, a kotka – biała.","Il gatto è nero e la gatta, bianca."
"Pizza margherita jest bardzo dobra.","La (pizza) margherita è molto buona."
"Dziewczyna jest z Wenecji.","La ragazza è di Venezia."
"Dziewczynka jest mała.","La bambina è piccola."
"Makaron jest zimny, a zupa – za gorąca.","La pasta è fredda e la zuppa, troppo calda."
"Woda jest za zimna.","L’acqua è troppo fredda."
"Hotel jest bardzo drogi.","L’albergo è molto caro."
"Zegar/Zegarek jest zepsuty!","L’orologio è rotto."
"Olej i czosnek są w lodówce.","L’olio e l’aglio sono in frigo."
"(Ten) chłopak jest Włochem.","Il ragazzo è italiano."
"Chłopczyk jest mały.","Il bambino è piccolo."
"Książka jest interesująca.","Il libro è interessante."
"Wujek i ciocia są na wakacjach we Włoszech.","Lo zio e la zia sono in vacanza in Italia."
"Proszę, oto plecak i torba.","Prego, ecco lo zaino e la borsa."
"Panie już tu są!","Le signore sono già qui!"
"Okna są zamknięte czy otwarte [dosł. lub otwarte]?","Le finestre sono chiuse o aperte?"
"Krzesła są ładne, ale stoły brzydkie.","Le sedie sono belle, ma i tavoli sono brutti."
"Dzisiaj muzea są zamknięte.","Oggi i musei sono chiusi."
"Spaghetti jest [dosł. są] pyszne!","Gli spaghetti sono buonissimi!"
"Włosi są sympatyczni.","Gli italiani sono simpatici."
"Polacy też są bardzo sympatyczni!","Anche i polacchi sono molto simpatici!"
"Chłopcy są już gotowi, ale dziewczyny jeszcze nie.","I ragazzi sono già pronti, ma le ragazze ancora no."
"Bilety nie są bardzo drogie.","I biglietti non sono molto cari."
"Klucze są tutaj.","Le chiavi sono qui."
"Państwo Rossi znów się spóźniają.","I signori Rossi sono di nuovo in ritardo."
"Proszę, oto książki i zeszyty.","Prego, ecco i libri e i quaderni."
"Kawa z cukrem czy bez?","Il caffè con lo zucchero o senza?"
"Józef jest lekarzem, natomiast Stefan – śpiewakiem.","Giuseppe è medico, invece Stefano è cantante."
"Jesteś nauczycielem/nauczycielką?","Sei insegnante?"
"(Od) teraz jesteście mężem i żoną.","Siete ora marito e moglie."
"Cześć, mamo! To ja Józef!","Ciao, mamma! Sono io, Giuseppe!"
"Kochanie, jesteś już w domu?","Amore, sei già a casa?"
"Skarbie, gdzie jesteś?","Tesoro, dove sei?"
"Gdzie jest łazienka?","Dove è il bagno?"
"Łazienka jest na lewo / na prawo.","Il bagno è a sinistra / a destra."
"Wystarczy! Studenci są już zmęczeni.","Basta! Gli studenti sono già stanchi."
