"Rozmówki - przydatne zwroty"
"Miło mi Pana/Panią poznać","Piacere di conoscerla"
"Bardzo dziękuję ","Grazie mille"
"Proszę bardzo (w sensie: nie ma za co, proszę bardzo)","Prego"
"Ile to kosztuje?","Quanto costa?"
"Czy mogę przymierzyć? ","Posso provare?"
"Szukam prezentu dla przyjaciółki","Cerco un regalo per un'amica"
"Płacę kartą kredytową","Pago con carta di credito"
"Stolik dla dwóch osób","Tavolo per due"
"Chciałbym zarezerwować stolik","Vorrei prenotare un tavolo"
"Co mi pan/pani poleca?","Cosa ci consiglia?"
"Mogę prosić o rachunek?","Posso avere il conto, per favore? "
"Chciałbym zapłacić gotówką","Vorrei pagare in contanti"
"Gdzie znajduje się...? ","Dove si trova...?"
"Czy mógłby mi pan/pani polecić dobrą restaurację? ","Mi può consigliare un buon ristorante?"
"Jeden bilet proszę","Una bilietta per favore"
"Chciałbym zarezerwować wycieczkę.","Vorrei prenotare un tour."
"Wszystko w porządku","Tutto bene"
"Zgubiłem portfel.","Ho perso il mio portafoglio"
"Potrzebuję lekarza","Ho bisogno di un dottore"
"Gdzie jedzie ten pociąg?","Dove va questo treno?"
"Z którego peronu odjeżdża pociąg do Mediolanu?","Da quale binario parte il treno per Milano?"
"Niestety, mówię słabo po włosku","Purtroppo parlo poco italiano"
"Proszę mnie tam zawieźć","Portatemi lì, per favore."
"Czy macie wolne pokoje","Avete camere libere?"
"O której godzinie jest śniadanie/kolacja?","A che ora è la colazione / la cena?"
