"Czasowniki regularne zakończone na 'are'"
""Mówię po włosku!","Parlo italiano!"
"Józefie, za dużo mówisz!","Giuseppe, parli troppo!"
"Gdzie pracujesz?","Dove lavori?"
"Ja pracuję w banku, a Józef pracuje w szpitalu.","Io lavoro in banca e Giuseppe lavora in ospedale."
"Gdzie mieszkacie?","Dove abitate?"
"Mieszkamy we Florencji, przy ulicy de’ Medici.","Abitiamo a Firenze, in via de’ Medici."
"Babcia Zofia bardzo dobrze gotuje.","(La) nonna Sofia cucina molto bene."
"Jemy tiramisù i słuchamy włoskiej muzyki.","Mangiamo il tiramisù e ascoltiamo musica italiana."
"Józef chętnie pomaga mamie.","Giuseppe aiuta volentieri la mamma."
"W weekend oglądamy telewizję do późna.","Il fine settimana guardiamo la tv fino a tardi."
"Wchodzimy?","Entriamo?"
"Mikołaj przynosi prezenty.","Babbo Natale porta i regali."
"Amerykanie dużo podróżują.","Gli americani viaggiano tanto."
"Oni za dużo palą (papierosów).","Loro fumano troppo."
"Wracamy dziś wieczorem.","Torniamo stasera."
"Po obiedzie jemy lody.","Dopo pranzo mangiamo i gelati."
"Kocham jeść czekoladę!","Amo mangiare cioccolato!"
"Dziś nie pracujemy, dziś tylko odpoczywamy.","Oggi non lavoriamo, oggi riposiamo soltanto!"
"Po pracy Józef i Stefan grają w piłkę nożną.","Dopo il lavoro, Giuseppe e Stefano giocano a calcio."
"Dziewczynka bawi się lalką.","La bambina gioca con la bambola."
"Dziadek Wawrzyniec bardzo dobrze gra na fortepianie.","(Il) nonno Lorenzo suona molto bene il pianoforte."
"Kto płaci?","Chi paga?"
"Dziś my płacimy rachunek.","Oggi noi paghiamo il conto."
"Płacicie kartą czy gotówką?","Pagate con la carta o in contanti?"
"Kocham cię!","Ti amo!"
"Pani Verdi uczy języka włoskiego.","La signora Verdi insegna la lingua italiana."
"Uczę się włoskiego.","Studio italiano."
"Ty też uczysz się włoskiego?","Anche tu studi italiano?"
"Szybko się uczysz!","Impari velocemente!"
"Dziś państwo Bianchi jedzą spaghetti na obiad.","Oggi i signori Bianchi mangiano gli spaghetti per pranzo."
"We Włoszech makaron nie kosztuje dużo.","In Italia la pasta non costa tanto."
"Ciociu, kto zmywa naczynia?","Zia, chi lava i piatti? Tu o (lo) zio Stefano?"
"Ty czy wuj Stefan?","(Lo) zio Stefano è pigro, non lava i piatti."
"Wuj Stefan jest leniwy, nie zmywa naczyń.","Cominciamo ora, subito!"
"Zaczynamy teraz, natychmiast!","Chi comincia? Comincio io, dopo parla Giuseppe."
