"Czasowniki regularne zakończone na 'ere'" 
""Czytam i piszę po włosku.","Leggo e scrivo in italiano."
"Piszemy, czytamy i słuchamy dużo, żeby nauczyć się włoskiego.","Scriviamo, leggiamo e ascoltiamo tanto per imparare l’italiano."
"Zamykam drzwi.","Chiudo la porta."
"Józef zamyka okno.","Giuseppe chiude la finestra."
"Dokąd biegniesz tak szybko?","Dove corri così velocemente?"
"Dlaczego nie odpowiadacie?","Perché non rispondete?"
"Proszę o wybaczenie, spóźnię się [dosł. jestem w spóźnieniu].","Chiedo scusa, sono in ritardo."
"Znasz Józefa?","Conosci Giuseppe?"
"Nie, niestety, nie znam Józefa.","No, purtroppo non conosco Giuseppe."
"Znacie włoskie piosenki?","Conoscete le canzoni italiane?"
"Tak! Znamy piosenki Erosa Ramazzottiego i Gianny Nannini.","Sì! Conosciamo le canzoni di Eros Ramazzotti e Gianna Nannini."
"Pan Rossi nie zna polskiego.","Il signor Rossi non conosce il polacco."
"Sprzedajecie samochód?","Vendete la macchina?"
"Tak, sprzedajemy samochód, bo jest już stary i zepsuty.","Sì, vendiamo la macchina perché è vecchia e rotta."
"Dlaczego się śmiejesz?","Perché ridi?"
"Mieszkamy [dosł. żyjemy] w mieście.","Viviamo in città."
"My natomiast mieszkamy na wsi.","Noi invece viviamo in campagna."
"Mieszka z ojcem za granicą.","Vive con il padre all’estero."
"Jedziemy autobusem czy taksówką [dosł. Bierzemy autobus czy taksówkę]?","Prendiamo l’autobus o il taxi?"
"Lecę samolotem, pociągi są zbyt powolne.","Prendo l’aereo, i treni sono troppo lenti."
"Bierzemy samochód?","Prendiamo la macchina?"
"Józef bierze lekarstwa, bo jest chory.","Giuseppe prende le medicine perché è malato."
"Biorę urlop, jestem zmęczona.","Prendo le ferie, sono stanca."
"Napijesz się kawy?","Prendi un caffè?"
"Ja zawsze wygrywam, a oni zawsze przegrywają.","Io vinco sempre e loro perdono sempre."
"Tracisz zbyt dużo czasu.","Perdi troppo tempo."
"Tracę cierpliwość.","Perdo la pazienza."
"Kogo widzę! To Józef!","Chi vedo! È Giuseppe!"
"[W teatrze]: Widzisz dobrze? Widzisz, życie nie jest łatwe.","[A teatro]: Vedi bene? Vedi, la vita non è facile."
"Przepraszam, wysiada pan/pani teraz?","Scusi, scende ora?"
"Przepraszam, wysiadasz teraz?","Scusa, scendi ora?"
"Goście schodzą po schodach.","Gli ospiti scendono le scale."
"Poprawiamy błędy.","Correggiamo gli errori."
"Włączam światło.","Accendo la luce."
"Włączacie komputer?","Accendete il computer?"
